type ligne;;;origine;ex;auteur 1;auteur 2;editeur;yr;J;classe;age;durée;nombre;moy;dif;m.c.;Ph;R;A;;;;;;;;;;;;;;;
tag;Apero;18 jeux;_;;_;_;_;_;_;_;_;_;_;_;_;;;;;;;;;;;;;;;;;;;
jeux;Ziff Zoff;;Achat;1;Zeimet;;Drei Magier Spiele;2005;J;GP;6;10mn;2;4,00;1;;;_;_;2;;;;;;;;;;;;;;
jeux;Xe Queo;new;;1;Randolph;;Drei Magier Spiele;1998;;GP;_;15mn;26;3,31;1;;;R;_;2;;;;;;;;;;;;;;
jeux;Blokus Duo;;Achat;1;Tavitian;;Winning Moves;2005;;GP;8;15mn;23;4,00;1;;;_;_;2;;;;;;;;;;;;;;
jeux;Jungle;;Achat;1;_;;Matagot;2006;;GP;10;20mn;3;4,66;2;;;R;A;2;;;;;;;;;;;;;;
jeux;Khan Tsin;;Achat;1;Leroy;;Jactaléa;2006;;GP;8;30mn;6;4,00;2;;;_;_;2;;;;;;;;;;;;;;
jeux;San Ta Si;new;Achat;1;Zeimet;;Zoch;2005;;GP;10;15mn;14;3,14;1;;;R;_;2;;;;;;;;;;;;;;
jeux;Mana;;Achat;1;Leroy;;Jactaléa;2005;;GP;8;30mn;28;4,28;1;;;R;_;2;;;;;;;;;;;;;;
jeux;Jambo;new;JSP;1;Dorn;;Filosofia;2007;;GP;12;40mn;14;4,14;2;;;R;_;2;;;;;;;;;;;;;;
jeux;Expedition Altiplano;new;;1;Martinez;;Matagot;2006;;GP;10;30mn;40;3,50;2;;;R;_;2;;;;;;;;;;;;;;
jeux;Mr Jack;new;JSP;1;Cathala;Maublanc;Hurrican;2006;;GP;9;30mn;172;4,33;2;;;R;A;2;;;;;;;;;;;;;;
jeux;Gobblet;new;Achat;1;Denoual;;Gigamic;2003;;GP;7;15mn;32;4,25;2;;;_;A;2;;;;;;;;;;;;;;
jeux;Quorridor;new;Achat;1;Marchesi;;Gigamic;1997;;GP;10;15mn;71;3,84;2;;;R;A;2;;;;;;;;;;;;;;
jeux;Quarto;new;Achat;1;Müller;;Gigamic;1991;;GP;8;15mn;106;3,91;1;;;_;_;2;;;;;;;;;;;;;;
jeux;Hive;new;;1;Yianni;;Gigamic;2005;;GP;9;30mn;23;4,26;2;;;R;_;2;;;;;;;;;;;;;;
jeux;Pecking Order;new;Descartes;1;Garfield;;Winning Moves;2006;;GP;8;10mn;9;3,44;2;;;R;_;2;;;;;;;;;;;;;;
jeux;Tara;new;Achat;1;Heasman;;Tailten Games;2006;;GP/JP;9;30mn;2;4,50;2;;;R;_;2;;;;;;;;;;;;;;
jeux;Shazamm!;;Achat;1;Bruel;Des Pallières;lui-même;2003;;GP/JP;10;20mn;119;3,90;2;;;_;_;2;;;;;;;;;;;;;;
jeux;Ballon Cup;;Achat;1;Glenn;;Tilsit;2003;;GP/JP;10;30mn;47;4,10;2;;;R;A;2;;;;;;;;;;;;;;
jeux;Aton;new;Achat;1;Gimmler;;Queen Games;2006;;GP/JP;10;30mn;21;4,05;3;;;R;A;2;;;;;;;;;;;;;;
jeux;Battlelore;;Achat;1;Borg;;Days of Wonder;2006;;GP/JP;10;60mn;46;4,28;3;;;_;;2;;;;;;;;;;;;;;
jeux;Battlelore - ext AuxArmes;new;Achat;1;Borg;;Days of Wonder;2007;;GP/JP;10;_;6;3,16;3;;;R;_;2;;;;;;;;;;;;;;
jeux;Tempete sur l'Echiquier;new;;1;Cléquin;Faidutti;Asmodée;1991;;GP/JP;8;60mn;10;3,70;2;;;_;A;2;;;;;;;;;;;;;;
jeux;Schotten Totten;new;Descartes;1;Knizia;;Ubik;1999;;GP/JP;8;20mn;116;4,20;2;;;R;A;2;;;;;;;;;;;;;;
jeux;Les Cités Perdues;new;;1;Knizia;;Filosofia;2007;;GP/JP;10;30mn;20;4,10;2;;;_;A;2;;;;;;;;;;;;;;
jeux;Les Colons de Catane - Ja2;new;;1;Teuber;;Filosofia;2006;;GP/JP;12;90mn;34;3,67;2;;;R;A;2;;;;;;;;;;;;;;
jeux;Exxit;new;;1;Everaert;;Jactaléa;2006;;GP/JP;12;40mn;13;4,61;3;;;R;_;2;;;;;;;;;;;;;;
jeux;Cathedral;new;Achat;1;Peter Moore;;Gigamic;1981;;GP/JP;10;10mn;18;4,27;1;;;R;_;2;;;;;;;;;;;;;;
jeux;Gipf;new;Achat;1;Burm;;Gigamic;1996;;GP/JP;9;45mn;49;4,14;3;;;R;_;2;;;;;;;;;;;;;;
jeux;Zèrtz;new;Achat;1;Burm;;Gigamic;1999;;GP/JP;9;15mn;45;4,35;3;;;R;_;2;;;;;;;;;;;;;;
jeux;Pünct;new;Achat;1;Burm;;Gigamic;2005;;JP;10;30mn;10;4,10;2;;;R;_;2;;;;;;;;;;;;;;
jeux;Yinch;new;Achat;1;Burm;;Gigamic;2003;;JP;9;30mn;82;4,67;3;;;_;A;2;;;;;;;;;;;;;;
